S No,Symptoms
11914,S3 and S4 gallop
11915,S3 GALLOP
11916,S3 may be audible
11917,S3 S4 heart sound
11918,S4 gallops
11919,Saber shins
11920,sacral paraesthesia
11921,Sacrofulous ulcer of cornea
11922,SACROILITIS
11923,Saddle nose
11924,saddle nose deformity
11925,SADNESS
11926,SAFE SEX
11927,Sagging of posterosuperior meatal wall
11928,Salicylisms
11929,"saliva is at first thick and mucoid, but salivary volume  decreases later"
11930,Salivary gland enlargement
11931,Salivary gland toxicity
11932,Salivary gland tumour
11933,Salivation
11934,Salmon patch appearance in cornea
11935,salmon-colored lesions
11936,Salmonella enteritis
11937,Salmonella Infection (Salmonellosis)
11938,SALMONELLA OSTEOMYELITIS
11939,salmonellosis
11940,SALPINGITIS
11941,salt craving
11942,salt-and-pepper retinopathy
11943,Salty or soapy taste
11944,Salu’s sign (deflection of veins at the arteriovenous crossings)
11945,Salzmann’s Nodular Degeneration
11946,samTest
11947,Sarcoidosis
11948,sarcoma
11949,sarcoma botryoides
11950,Sarcoma Fibroid
11951,Sarcomatoid lung carcinoma
11952,Sarcosinemia
11953,sausage-shaped fi nger
11954,scabies
11955,scabies dermatology
11956,scabs
11957,Scaling
11958,scaling of skin
11959,Scalp folliculitis
11960,scalp hair lost
11961,scalp itching
11962,scalp pruritus
11963,scalp psorasis
11964,scalp tingling
11965,Scalp veins become prominent and dilated
11966,scalp veins can be dilated
11967,scaly lesions are commonly associated with pink macules of varying size and the eruption may be  exclusively macular.
11968,scaly patches
11969,scaly skin in and around your ear canal
11970,"SCALY,HYPERPIGMENTED ERYTHEMATOSUS RASH"
11971,SCANTY MENSES
11972,scaphoid fracture
11973,scapula fracture
11974,SCAR RUPTURE
11975,Scarlatiniform rash
11976,scarlet fever
11977,scarring
11978,Scarring
11979,"scarring alopecia of the scalp and loss of the eyebrows, eyelashes and body hair resulting from follicular hyperkeratosis and atrophy"
11980,"Scarring and ulceration predominate,Crusts form over areas of necrosis"
11981,scarring of palpebral conjunctiva
11982,scarring of skin with resorption of terminal phalanges
11983,scattered petechiae on the forehead and extremities
11984,scattered rales
11985,"scattered,  scaly lesions involving the ‘seborrhoeic’ areas of the scalp, face,  chest and upper back"
11986,scedosporiosis
11987,scedosporiosis
11988,Schimmelpenning–Feuerstein–Mims syndrome
11989,schistosomiasis
11990,Schizophrenia
11991,schneiderian papilloma
11992,Schnitlzer syndrome
11993,Schnitzler syndrome
11994,Schnyder Corneal Dystrophy
11995,schwannoma
11996,schwannoma
11997,schwannoma (who grade 1)
11998,schwartze sign on otoscopy
11999,Sciatica
12000,Sclera becomes thin and appears blue
12001,scleral icterus
12002,Scleredema
12003,Sclerema neonatorum
12004,SCLERITIS
12005,sclerodactyly
12006,scleroderma
12007,scleromyxedema
12008,scleromyxoedema
12009,SCLEROSING CHOLANGITIS
12010,Sclerosing epithelioid fibrosarcoma
12011,sclerosing keratitis
12012,sclerosing panniculitis
12013,sclerosing peritonitis
12014,Sclerosing stromal tumour
12015,sclerotherapy
12016,Sclerotic type hypermature cataract(Lens is Dirty white with hyper white spots)
12017,scoliosis
12018,scoliosis with concavity towards the abscess
12019,Scorbutic “rosary.”
12020,SCORBUTIC ROSERY
12021,scorpion sting
12022,Scorpion venom
12023,scotoma
12024,Scotoma (defect in the visual field)
12025,scratch marks
12026,SCRATCHING EXTERNAL GENITALIA
12027,scratchy diastolic murmur
12028,Screening
12029,Scrofuloderma
12030,Scrotal calcinosis
12031,SCROTAL PAIN
12032,scrotal swelling
12033,scrotal tenderness
12034,scrotal thinning
12035,Scrub Typhus
12036,Scrub typhus dermatology
12037,SCURVY
12038,seasonal affective disorder
12039,seasonal allergic rhinitis
12040,Sebaceoma
12041,Sebaceous adenoma
12042,Sebaceous adenoma
12043,Sebaceous carcinoma
12044,Sebaceous cyst
12045,Sebaceous gland carcinoma of eyelid
12046,"Sebaceous gland hyperplasia, adenoma and carcinoma"
12047,Sebaceous gland tumours
12048,Sebaceous hyperplasia
12049,Sebaceous naevus (synonym: naevus sebaceus of Jadassohn)
12050,sebopsoriasis
12051,seborrheic dermatitis
12052,Seborrheic Keratoses
12053,seborrhoea
12054,seborrhoeic  dermatitis
12055,Seborrhoeic blepharitis
12056,seborrhoeic dermatitis
12057,"seborrhoeic dermatitis-like  eruption involving the face, scalp, neck, shoulders, buttocks  and perineum"
12058,Seborrhoeic eczema
12059,seborrhoeic eczema
12060,Seborrhoeic eczema
12061,seborrhoeic keratosis
12062,Seborrhoeic Otitis Externa
12063,seclusio papillae
12064,SECOND DEGREE CERVICAL DESCENT with CYSTOCELE2+ and RECTOCELE 3+
12065,second or third-degree AV block
12066,Secondary Adrenal Insufficiancy
12067,Secondary adrenocortical insufficiency
12068,SECONDARY AMENORRHEA
12069,secondary cardiomyopathy
12070,SECONDARY CAUSES
12071,"Secondary deviation(deviation of the normal eye seen under cover, when the patient is made to fix with the squinting eye)"
12072,Secondary glaucoma
12073,SECONDARY HYPERPARATHYROIDISM
12074,secondary hypocortisolism
12075,secondary infection
12076,"Secondary infection can result in necrotic, foul-smelling, deep  ulceration."
12077,Secondary infection possibly leading to septic emboli
12078,SECONDARY INFERTILITY
12079,"Secondary lesions is a generalized popular or macular rash, condylomata lata and generalized  lymphadenopathy; painful periostitis may affect the legs and  hands"
12080,secondary lymphoedema (periulcer lymphoedema
12081,Secondary malignancies
12082,secondary microbial keratitis
12083,Secondary open angle glaucoma
12084,SECONDARY OSTEOMYELITIS
12085,secondary periphlebitis retinae
12086,secondary prophylaxis of disseminated MAC infections
12087,Secondary pulmonary arterial hypertension
12088,Secondary sexual characteristics <8 years in girls
12089,secondary squamous cell carcinoma
12090,"Secondary Syphilis Within 6 weeks to 6 months from the onset of primary chancre,  the secondary syphilis may be evidenced in the vulva"
12091,SECONDARY VAGINISMUS
12092,secretion of lipases and phospholipases
12093,secretions pool in the oropharynx
12094,Secretory carcinoma
12095,secretory neoplasm
12096,Sedation
12097,"seed-like, raised, whitish lesions scattered uniformly over the part of the fundus at the level of optic disc(Xerophthalmic fundus)."
12098,See-saw nystagmus(One eye rises and intorts while the other descends and extorts and then the reverse is seen)
12099,SEIZURE ACCOMPANIED WITH MORE OBVIOUS MOTOR SIGNS
12100,Seizure disorders
12101,"SEIZURE UNDER EVALUATION ,"
12102,seizures
12103,SEIZURES IN NEWBORN
12104,seizures may be precipitated
12105,selective IgA deficiency
12106,Selenium deficiency
12107,self mutilation
12108,Semicircular lipoatrophy
12109,SEMIDILATED PUPIL
12110,SEMINOMA
12111,Seminoma - Seminoma with syncytiotrophoblastic cel
12112,senasation of colour halos in eyes
12113,Sengers syndrome
12114,SENILE ENDOMETRITIS
12115,Senile Vaginitis
12116,Sensation in the ear
12117,sensation of a foreign body in the eye
12118,Sensation of constriction in the chest
12119,Sensation of constriction in the throat
12120,sensation of electrical shock
12121,sensation of flashes of light(photopsia)
12122,sensation of flushing
12123,sensation of heat
12124,Sensation of heat in the vein
12125,sensation of heaviness
12126,Sensation of impending death
12127,Sensation of incomplete bladder emptying
12128,SENSATION OF POOR BLADDER EMPTYING
12129,sensation of warmth
12130,sense of pelvic pressure
12131,sense of weakness and of a lack of support around the perineum
12132,sensitisation
12133,Sensitisation of the myocardium
12134,sensitivity reactions
12135,Sensorimotor neuropathy
12136,Sensorimotor neuropathy and mononeuritis multiplex are both commonly documented
12137,sensorineural hearing loss
12138,SENSORINEURAL HEARING LOSS
12139,sensory and motor nerves impairments
12140,sensory deficits
12141,sensory disturbances
12142,sensory loss
12143,Sensory neuropathies
12144,sepsis
12145,septal abscess
12146,septal hematoma
12147,Septic Abortion
12148,Septic arthritis
12149,septic shock
12150,septic shock
12151,septicaemia
12152,septicemia
12153,septo-optic dysplasia
12154,septum perforation
12155,serious adverse effect in the infant
12156,Serious adverse effect is
12157,Serious adverse effects (immunosuppression)
12158,Serious adverse effects are
12159,Serious adverse effects are: leucopenia
12160,serious bleeding including Haemoptysis
12161,serious common adverse effect is renal impairment
12162,serious hypersensitivity reactions
12163,serious hypokalaemia
12164,serious infection
12165,serious neurological conditions
12166,Serious skin reaction
12167,serious uncontrolled bleeding or emergency surgery is required
12168,Serious ventricular arrhythmias
12169,Serotonin deficiency
12170,serotonin syndrome
12171,serous adenocarcinoma
12172,serous cystadenocarcinoma
12173,serous cystadenoma
12174,Serous neurosensory retinal detachment
12175,serous otitis media
12176,"serpiginous ulcer with  distinct raised thickened often undermined edges and with an  erythematous rim about 2  cm wide, haemopurulent exudate  and necrotic slough"
12177,serrated adenoma
12178,Sertoli cell tumour - Sertoli cell tumour lipid ri
12179,"Sertoli cell tumour, Stromal-Leydig cell tumour"
12180,Serum creatinine levels may increase
12181,Serum lipids are usually normal. Multiple myeloma and monoclonal gammopathy are the two most  frequently associated diseases with DPX
12182,Serum sickness
12183,Serum uric acid  levels may also increase
12184,serum-sickness
12185,serum-sickness-like syndrome
12186,Sesitivity
12187,Severe abdominal pain
12188,SEVERE ACUTE MALNUTRITION
12189,severe acute respiratory syndrome
12190,Severe Acute Respiratory Syndrome (SARS)
12191,severe allergic reaction
12192,"severe anaemia,"
12193,Severe anaerobic infections
12194,severe and uncontrolled infection
12195,SEVERE ANNULAR CALCIFICATION
12196,severe anxiety
12197,severe arterial spasm
12198,severe back pain
12199,severe bleeding
12200,severe bradycardia
12201,"severe burning dysuria severe burning dysuria accompanied by a purulent discharge, which is often profuse"
12202,Severe cardiotoxicity
12203,Severe case
12204,severe chronic spasticity of cerebral origin
12205,severe chronic spasticity of spinal origin
12206,Severe circulatory disturbances
12207,severe combined immunodeficiency (SCID)
12208,severe conduction defects
12209,severe congenital ichthyosis
12210,Severe dehydration
12211,Severe Dengue
12212,severe dental abscess
12213,Severe depression
12214,Severe depression related to skin discoloration
12215,severe depression with or without suicidal behavior
12216,severe diarrhoea
12217,severe enterocolitis
12218,Severe erythema
12219,severe erythema multiforme
12220,severe febrile reaction
12221,severe gastrointestinal disorders.
12222,severe gastrointestinal effects
12223,severe generalized hypotonia
12224,severe headache
12225,severe heart failure
12226,Severe hepatic impairment
12227,severe hepatomegaly
12228,Severe hepatotoxicity
12229,severe hypersensitivity reaction
12230,"severe hypersensitivity reactions, vasculitis,  polyarteritis, an SLE-like syndrome, generalized exfoliative dermatitis and toxic epidermal necrolysis. Psoriasis was reported to  be exacerbated in a p"
12231,severe hypertension
12232,severe hyponatremia
12233,Severe hypotension
12234,severe hypotonia
12235,severe hypotonia at birth
12236,Severe hypoxemia
12237,Severe infections
12238,severe itching
12239,severe liver damage
12240,severe malabsorption syndrome
12241,severe malnutrition
12242,severe muscular weakness
12243,severe myelosuppression
12244,Severe myocardial damage
12245,Severe myopia
12246,severe neuralgic pain along the course of the affected nerve
12247,severe obstructive aortic
12248,severe organic heart disease
12249,severe pain
12250,Severe pain and tender swelling in one quadrant of the  breast
12251,severe pain at the injection site
12252,severe pain during movement
12253,severe pain in the forearm
12254,Severe Pallor
12255,Severe peripheral arterial disease
12256,Severe peripheral neuropathies
12257,severe phlebitis
12258,severe pneumonia/very severe pneumonia
12259,Severe postural hypotension
12260,severe pruritus  accompanied by erythema and often a papular or papulovesicular  rash
12261,severe pulmonary disease
12262,severe pustular conjunctivitis
12263,Severe reactions
12264,Severe renal failure
12265,Severe renal impairment
12266,severe respiratory failure
12267,severe retinal necrosis
12268,Severe shock
12269,severe skin disorders
12270,severe skin rashes
12271,severe skin reactions
12272,severe systemic candidiasis
12273,Severe Tachycardia
12274,severe thiamine deficiency
12275,"severe truncal hypotonia with poor head control, but increased tone in the  extremities."
12276,severe urticaria
12277,severe ventricular tachycardia
12278,Severe vitreous opacification
12279,Sex cord/gonadal stromal tumour: Incompletely diff
12280,"Sex cord/gonadal stromal tumours, mixed forms - Ma"
12281,SEX WORKERS
12282,Sexual disturbances
12283,Sexual dysfunction
12284,Sexual dysfunction( delayed ejaculation) 
12285,Sexual infantilism
12286,sexual maturation fails
12287,sexual problem
12288,SEXUALLY TRANSMITTED DISEASE
12289,Sézary syndrome
12290,shakiness
12291,Shaking chills
12292,shallow anterior chamber
12293,shallow breathing
12294,shallow orbital ridges
12295,Shallow respiration
12296,shallow respiratory efforts
12297,shallow ulcer
12298,SHAME
12299,sharply demarcated erythema of the gluteal/perianal  area and/or V-shaped erythema of the inguinal area;
12300,"sharply demarcated irregular macules with varying degrees of hypopigmentation, mainly  located over the extremities"
12301,"sharply demarcated, purpuric, tender plaques, with marginal retiform extensions, accompanied by erythema"
12302,shawl sign
12303,sheathing of vessels
12304,Shedding of scale
12305,"Shedding of the collodion membrane is followed by the development  of large dark grey/brownish scales affecting the trunk and the  scalp, but sparing the face and extremities"
12306,SHEEHAN'S SYNDROME
12307,Sheen is lost
